text,score
The tool is amazing and I definitely worth the money.,4.89
The customer service works perfectly and I absolutely love it.,4.26
"This app is terrible, extremely frustrated.",1.55
"The item is very disappointing, extremely frustrated.",1.43
"The item is terrible, worst purchase ever.",1.39
This app is great and I so happy with this purchase.,4.47
This product is absolutely fantastic and I definitely worth the money.,4.85
"The item broke immediately, really hate it.",1.06
"The quality is awful, worst purchase ever.",2.07
I do not think this product exceeded my expectations.,2.13
I do not think this app is amazing.,1.93
"The package is awful, do not buy.",1.78
"This item works as expected, does the job.",3.88
"This item is mediocre, some good and some bad parts.",2.63
The customer service is absolutely fantastic and I will buy again.,4.14
The item is great and I absolutely love it.,4.67
"The design works as expected, some good and some bad parts.",2.71
The customer service is amazing and I so happy with this purchase.,4.42
I do not think the tool is amazing.,2.3
The item is top-notch and I absolutely love it.,4.67
"The design is mediocre, fair value for the price.",3.46
"The service works as expected, fair value for the price.",2.69
"This service is very disappointing, worst purchase ever.",1.48
This product works perfectly and I definitely worth the money.,4.24
This product is absolutely fantastic and I will buy again.,4.16
"The service is okay, not bad but not great.",3.71
This product is absolutely fantastic and I so happy with this purchase.,4.55
This app is amazing and I absolutely love it.,4.71
"The item is awful, really hate it.",1.42
The overall design is great and I definitely worth the money.,4.28
"The item is terrible, extremely frustrated.",2.23
The item is great and I will buy again.,4.06
"The performance is mediocre, fair value for the price.",3.31
The item is great and I so happy with this purchase.,4.59
"The performance works as expected, does the job.",3.09
The item is great and I will buy again.,4.59
The item is top-notch and I highly recommend it.,4.41
I do not think the item works perfectly.,1.76
"This item is mediocre, nothing special.",2.65
"This service is terrible, very unhappy.",2.29
I do not think this product exceeded my expectations.,1.34
"This app is awful, extremely frustrated.",1.21
"The design is average, fair value for the price.",3.14
"The quality is a complete waste of money, very unhappy.",2.3
"The item is very disappointing, worst purchase ever.",1.02
I do not think this product is absolutely fantastic.,1.99
"The product works as expected, does the job.",3.86
"The service is mediocre, nothing special.",3.06
"The product is okay, some good and some bad parts.",3.71
The item is great and I will buy again.,4.74
"This app is terrible, very unhappy.",1.9
"The design is okay, nothing special.",3.85
I do not think the item works perfectly.,2.23
The tool is absolutely fantastic and I absolutely love it.,4.3
"This service is a complete waste of money, very unhappy.",2.12
"The package is awful, do not buy.",1.25
I do not think the overall design is absolutely fantastic.,1.25
I do not think the tool is top-notch.,2.1
I do not think this product exceeded my expectations.,2.28
"The quality broke immediately, really hate it.",1.05
I do not think the tool is amazing.,1.84
"This app broke immediately, worst purchase ever.",2.29
"This item is mediocre, some good and some bad parts.",3.19
"The product is okay, fair value for the price.",3.3
"The performance is decent, does the job.",2.99
"The quality is awful, very unhappy.",1.73
"The quality is a complete waste of money, worst purchase ever.",2.12
"This service is awful, do not buy.",1.69
The overall design is top-notch and I highly recommend it.,4.2
"This item is okay, nothing special.",3.8
"The quality is very disappointing, extremely frustrated.",1.97
The overall design works perfectly and I so happy with this purchase.,4.39
I do not think the overall design is amazing.,1.4
I do not think this product works perfectly.,1.4
"The item does not work at all, really hate it.",2.46
"The package is a complete waste of money, really hate it.",2.14
"The performance is decent, nothing special.",3.17
"This item works as expected, nothing special.",3.22
The overall design works perfectly and I highly recommend it.,4.38
This app is great and I highly recommend it.,4.6
This product is great and I so happy with this purchase.,4.52
This product is great and I definitely worth the money.,4.85
"The package is very disappointing, extremely frustrated.",1.82
The overall design is great and I highly recommend it.,4.87
"The product broke immediately, extremely frustrated.",2.1
"The design works as expected, not bad but not great.",3.22
The item exceeded my expectations and I absolutely love it.,4.51
I do not think this product exceeded my expectations.,2.17
"The product is decent, not bad but not great.",2.7
The customer service is great and I definitely worth the money.,4.62
"The product is awful, do not buy.",1.31
"This service does not work at all, really hate it.",1.15
"The product is terrible, extremely frustrated.",1.35
"This service is very disappointing, really hate it.",1.13
"This app is awful, extremely frustrated.",1.87
"The quality is awful, really hate it.",2.48
"This service is terrible, do not buy.",2.2
This product is great and I absolutely love it.,4.07
"The quality is awful, worst purchase ever.",1.97
I do not think the customer service is great.,1.95
"The quality is very disappointing, really hate it.",2.22
"This item works as expected, nothing special.",3.63
This product is top-notch and I definitely worth the money.,4.75
"The service is okay, fair value for the price.",2.86
The overall design is amazing and I absolutely love it.,4.57
This app is amazing and I so happy with this purchase.,4.88
"The design is average, not bad but not great.",3.12
"The quality is a complete waste of money, worst purchase ever.",2.36
The tool is great and I highly recommend it.,4.73
"The item broke immediately, really hate it.",1.0
"This item is decent, does the job.",3.52
The customer service is amazing and I absolutely love it.,4.15
"The item is terrible, extremely frustrated.",2.16
The item is top-notch and I will buy again.,4.38
"This item is mediocre, some good and some bad parts.",3.11
"The quality is a complete waste of money, worst purchase ever.",1.46
This app is absolutely fantastic and I highly recommend it.,4.38
"The product is average, nothing special.",3.28
This product is absolutely fantastic and I so happy with this purchase.,4.73
I do not think the item is great.,1.79
